a	какой-то
shop assistant	продавец
shop-assistant	приказчик|продавщица
shop-girl	продавщица
shop-keeper	лавочник|лавочница
shop-soiled gods	заваль
shopman	приказчик
shore	берег|побережье|взморье
shorn	стриженый
short	короткий|краткий|небольшой
short caftan	полукафтан
short coat	полупальто
short duration	непродолжительный|непродолжительность|недолговечность
short fall	недолёт
short ladder	лесенка|времянка
short laugh	смешок
short life	недолговечность
short measure	недомер
short meeting	летучка
short of temper	раздражительный
short sheepskin coat	полушубок
short sleeve	рукавчик
short story	новелла
short weight	недовес|провес
short wire	проволочка
short-haired	стриженый
short-legged	коротконогий
short-legged clumsy person	каракатица
short-lived	минутный|недолговечный
short-sighted	близорукий
short-sightedness	близорукость|миопия|недальновидность
short-sleeved shirt	тенниска
short-story writer	новеллист
short-tempered	раздражительный
short-term	краткосрочный|кратковременный
short-wave enthusiast	коротковолновик
shortage	нехватка|дефицит|недостача
shortage of land	малоземелье
shortcoming	изъян|недочёт
shortcut	ярлык
shorten	сократить|сокращать|укоротить
shortening	сокращение|сдоба|убавление
shorter	пониже
shortest	кратчайший
shorthand	стенографический|стенография|стенографист
shorting	замыкание
shortish	низкорослый|невысокий
shortly	незадолго
shortly after	вскоре
shortness of temper	раздражительность
shorts	шорты|трусики
shorty	малявка
shot	выстрел|кадр|дробь
shot glass	рюмка
shot-hole	пробоина
shotfirer	взрывник
should	следовать|нужно
should be	стоить
should-strap	погон
shoulder	плечо|лопатка
shoulder-belt	портупея|перевязь
shoulder-blade	лопатка
shoulder-strap	плечико|бретель|бретелька
shout	кричать|крикнуть|закричать
shout with laughter	хохотать
shouter	крикун|крикунья
shove	толчок|толкнуть|толкать
shove aside	отпихнуть
shove back	оттеснить
shove in	засунуть|засовывать
shove out	выпирать
shovel	лопатка|лопата|сгрести
show	показать|показывать|указать
show black	чернеть|почернеть
show blue	голубеть|синеть|посинеть
show green	зеленеть|позеленеть
show grey	посереть|сереть
show mercy	помиловать|миловать
show off	похвастаться|красоваться|хвастаться
show oneself	показываться|высовываться|развернуться
show pink	розоветь|порозоветь
show red	покраснеть|краснеть
show the door	выпроводить
show through	проступать|проступить
show up	появиться|показаться|появляться
show up white	белеть|побелеть
show yellow	пожелтеть|желтеть
show-booth	балаган
show-case	витрина
show-off	хвастун
show-window	выставка
shower	кабина|закинуть|град
shower-bath	обливание
shower-baths	душевная
showers	душевная
showiness	парадность
showing	показатель
showing a loss	дефицитный
showing off	рисовка
showing sufficient erudition	грамотный
showman	балаганщик
showy	эффектный
shrapnel	осколочный|шрапнель
shred	клок|лоскут|щипать
shrew	землеройка|мегера|злюка
shrewd	дошлый|проницательный|догадливый
shrewdness	догадливость
shrewish	сварливый
shrewishness	сварливость
shrike	сорокопут
shrill	пронзительный|визгливый
shrillness	визгливость
shrilly	пронзительно|визгливо
shrimp	креветка|сморчок
shrine	рака|ковчег
shrink	сжаться|сжиматься|съёжиться
shrink back	отшатнуться
shrinkage	усадка
shrivel	съёжиться
shrivelled	высохший|иссохший
shroff	меняла
shroud	пелена|покров|окутать
shroud of christ	плащаница
shrouds	ванты
shrovetide	масленица|мясопуст
shrub	куст
shrubbery	кустарник
shrubs	кустарник
shrug	пожать
shrug off	плюнуть|плевать
shudder	содрогнуться|содрогаться|содрогание
shuffle	шаркать|перемешать|шарканье
shuffling	шарканье|тасовка
shun	уклоняться|сторониться|уклониться
shun society	одичать
shunting	маневровый|манёвренный|манёвры
shut	закрыть|закрываться|задвигаться
shut down	закрыть
shut in	захлопнуть|загородить|захлопывать
shut off	закрыть
shut up	закусить|заткнуться|закупорить
shutter	ставень|затвор|ставня
shutting	закрытие
shutting-off	выключение
shuttle	челнок
shuttlecock	волан
shy	робкий|застенчивый|дикий
shy at	испугаться
shy boy	дичок
shy girl	дикарка
shy unsociable person	дикарь
shy woman	дикарка
shyly	стыдливо
shyness	робость|застенчивость|дикость
si	си
sialorrhea	слюнотечение
siamese	сиамский
siberia	сибирь
siberian	сибирский|сибиряк|сибирячка
siberian salmon	кета
siberian stag	марал
siberian weasel	колонок
sibilance	присвист
sibilant	свистящий|сибилянт
sibyl	сивилла
siccative	сиккатив
sich schleppen bis	доползти
sick	больной|немощный|хворый
sick of	надоесть
sick person	больной
sick quarters	лазарет
sick-bay	лазарет
sick-leave certificate	бюллетень
sick-making	тошнотворный
sickening	омерзительный|тошнотворный
sickeningly	омерзительно
sickle	серп
sickliness	болезненность
sickly	хилый|нездоровый|дохлый
sickly person	дохлятина
sickly sweet	приторный
sickly-sweet	слащавый
sickness	тошнота|заболевание|немощь
sickness rate	заболеваемость
side	сторона|бок|стенка
side by side	рядом
side-altar	придел
side-car	коляска
side-chapel	придел
side-scenes	кулисы
side-show	аттракцион
side-street	переулок|улочка
side-track	вилять
sideboard	буфет|сервант
sidelight	иллюминатор|подфарник
sidereal	звёздный
siderite	сидерит
sideview	профиль
sidewalk	тротуар
sideways	вбок|набок|боком
sidewhiskers	бакенбарды
sidewise	бочком
siege	блокада|осада|осадный
sienna	сиена
sieve	сито|решето
sifter	фильтр|грохот
sifting	отсеивание|просеивание
siftings	высевки|отсев|отсевки
sig	сиг
sigh	вздохнуть|вздыхать|вздох
sight	зрение|зрелище|прицел
sighting	прицельный
sighting device	визир
sights	достопримечательность
sightseer	экскурсант
sign	знак|признак|примета
sign up	заключить
signal	сигнал|сигнальный|знак
signal pistol	ракетница
signal-box	блок-аппарат
signal-man	махальный
signal-sensoring	звукоулавливание
signaller	связист|махальный|сигнальщик
signalling	сигнализация
signalman	сигнальщик
signature	подпись|сигнатура|сигнатурка
signature stamp	гриф
signboard	вывеска
signet	печатка
signet-ring	перстень
significance	важность|значимость|значительность
significant	многозначительный|важный|выразительный
significantly	существенно|значительно|многозначительно
signify	значить|означать
signing	подписание
signor	господин|синьор
signora	синьора|госпожа
signorina	госпожа
silage	силос
silage-cutter	силосорезка
silence	тишина|молчание|безмолвие
silencer	глушитель
silencing	умолк
silent	молчаливый|тихий|беззвучный
silently	молча|беззвучно|бесшумно
silhouette	силуэт
silica	кремнезём
silicate	силикат
silicium	силиций
silicon	кремний
silicones	силикон
silk	шёлк|шёлковый|нахохлиться
silk hat	цилиндр
silkworm	шелкопряд
silkworm eggs	грена
silky	шелковистый
sill	лежень
silliness	придурковатость
silly	глупый|неумный|глупыш
silly little chap	несмышлёныш
silly little thing	глупышка|глупыш
silly-billy	глупыш
silo	силос
siloing	силосование
silon	силон
silt	ил
silver	серебро|серебряный|серебристый
silver coin	серебреник|сребреник
silver fir	пихта|пихтовый
silver lace	галун
silver nitrate	ляпис
silver thread	канитель
silver willow	краснотал
silver-plated	посеребрённый
silver-tongued orator	златоуст
silvered over	посеребрённый
silveriness	серебристость
silvering	серебрение
silversmith	серебряник
silvery	серебристый
silviculture	лесоводство
silviculturist	лесовод
simian	обезьяний
similar	похожий|подобный|сходный
similarity	сходство|подобие|схожесть
simile	сравнение
simony	симония
simoom	самум
simpering	ломанье
simple	простой|нехитрый|несложный
simple tastes	нетребовательность
simple-hearted	простодушный
simple-heartedness	простодушие|простосердечие
simple-minded	простодушный
simple-mindedness	простодушие
simpler	проще
simplest	проще
simpleton	лопух|дурень|простак
simplicity	простота|доступность|незатейливость
simplification	упрощение
simply	попросту|только|просто
simulate	притворяться
simulated	деланный|наигранный
simulation	моделирование|симуляция
simulator	симулянт|тренажёр|симулянтка
simultaneity	одновременность
simultaneous	одновременный
simultaneously	параллельно|враз|дружно
sin	грех|грешить|прегрешение
since	поскольку|с|благо
since earliest times	извечный
since olden days	издревле
since olden times	издавна
sincere	душевный|искренний|проникновенный
sincerely	искренне|искренно
sincerity	искренность|задушевность|неподдельность
sinciput	темя
sine	синус
sinecure	кормушка|синекура
sinew	жила|сухожилие
sinewy	жилистый|поджарый
sinful	грешный|греховный
sing	петь|пропеть|свистеть
sing loudly	голосить
sing small	притихнуть
singe	опалить|спалить
singed	палёный
singer	певец|певица|песнопевец
singing	пение|свист|замолкнуть
single	холостой|одиночный|одинокий
single combat	поединок|единоборство
single man	одинокий
single out	выделить|выделять
single swift movement	мах
single-eyed	безглазый
single-heartedness	прямодушие
single-minded	целенаправленный
single-oar	одиночка
single-storey	одноэтажный
single-track railway	одноколейка
singleness of occurrence	единичность
singling	пикировка
singularity	странность|необычность|необыкновенность
sinister	зловещий|жуткий
sink	опустить|тонуть|топить
sink deeply	запасть
sink down	запасть
sink in	впадать|впасть
sinker	грузило|проходчик
sinking	падение|погружение|потопление
sinless	безгрешный
sinner	грешник|греховодник|греховодница
sinologist	китаевед|синолог
sinologue	китаевед
sinology	китаистика|синология
sinter	натёк
sintering	спекание
sinuous	извилистый
sinus	пазуха|синус
sinusoid	синусоида
sip	глоток|прихлёбывать|потягивать
siphon	сифон|ливер
sippet	гренки
sir	сэр|сударь|пан
sire	производитель|государь
siren	сирена
sirius	сириус
sirloin	вырезка
sirocco	сирокко
sirup	сироп
siskin	чиж
sister	сестра
sister-in-law	невестка|золовка|свояченица
sit	сидеть|посидеть|восседать
sit close	тесниться
sit down	сесть|садиться|присесть
sit firm	засесть
sit out	отсиживаться|отсидеться
sit snug	отсиживаться|отсидеться
sit up	садиться
site	место
site of fire	пал|пепелище|пожарище
sitnik	ситник
sitter	натура|натурщица|натурщик
sitting	сидя|присев|сессия
sitting room	гостиная
situated downstream	низовой
situation	ситуация|обстановка|расположение
six	шесть|шестёрка|шестеро
six hundred	шестьсот
six months	полгода|полугодие
six times	шестью|вшестеро
six-in-hand	шестёрка|шестерик
six-year	шестилетний
six-year-old	шестилетний
sixfold	вшестеро|сам-шёст
sixteen	шестнадцать
sixteenth	шестнадцатый
sixth	шестой|секста
sixtieth	шестидесятый
sixty	шестьдесят
sizable	немалый
size	величина|номер|размер
size of type	кегль
size up	уяснить
sizeable	значительный
sizing	сортировка|проклейка
sizzle	шипеть|прошипеть
sizzling	шипение
skald	скальд
skate	кататься
skater	конькобежец
skates	коньки
skating	катание
skating-rink	каток
skein	моток
skeleton	скелет|костяк|остов
skeleton-key	отмычка
sketch	очерк|чертёж|эскиз
sketchiness	схематизм|схематичность
sketching	зарисовка
sketchy character	схематичность
skew	косой
skewbald	пегий
skewer	проткнуть
ski	лыжа|лыжный
ski boots	пьексы
ski jump	трамплин
ski-binding	крепление
ski-track	лыжня
skid	скольжение
skidding	занос|буксование
skier	лыжник|лыжница
skies	поднебесье
skiing	лыжи
skilful	искусный|умелый|знающий
skilfully	умело|искусно|мастерски
skilfulness	грамотность
skill	искусство|навык|умение
skilled	квалифицированный
skilled craftsman	умелец
skilly	баланда
skim	проглядывать|пробежать|пробегать
skim milk	обрат
skimp	скупиться
skin	кожа|шкура|шкурка
skin over	зарасти|затянуться|заживать
skin-deep	неглубокий
skin-diver	аквалангист
skinflint	жила|выжига|сквалыга
skinning	обдирание
skinny	худой|тощий
skip	пропустить|скакать|пропускать
skipper	шкипер
skipping	вприпрыжку|прыгание
skipping-rope	скакалка
skirmish	схватка|стычка|перестрелка
skirmisher	застрельщик
skirt	юбка|подол|юбочка
skis	лыжи
skit	капустник
skittish	игривый
skittle-alley	кегельбан
skittles	кегль
skiver	сачок
skomorokh	скоморох
skopets	скопец
skopje	Скопье
skoptsi	скопец
skull	череп
skull-cap	тюбетейка|ермолка|скуфейка
skunk	гад|вонючка|скунс
sky	небо|небосклон
sky-blue	голубой|лазурный|лазурь
sky-scraper	небоскрёб
skyjack	угнать
skyjacking	угон
skylight	фонарь
skyline	горизонт
slab	плита|доска|сляб
slabbing	слябинг
slack	слабый|слабина|вялый
slack off	слабеть
slacken	слабеть|ослабеть|ослабевать
slackening	ослабление|затишье
slacker	лодырь
slackness	расхлябанность
slag	шлак
slag-heap	отвал
slake	утолить
slaking	утоление
slalom	слалом
slalomist	слаломист|слаломистка
slam	захлопнуть|шлем|прихлопнуть
slander	клевета|ябеда|навет
slanderer	клеветник|клеветница
slanderous	клеветнический
slang	жаргон|арго|арготический
slang word	жаргонизм
slanging match	свара
slanging-match	пикировка
slant	косить|скос
slanting	косой|раскосый|покатый
slantwise	косо|наискосок|наискось
slap	похлопать|хлестать|шлёпать
slapdash	наскоро|безалаберный
slapstick	буффонада
slash	полоснуть|удар|ударить
slash-burn clearing	подсека
slat	планка
slate	шифер|аспид|сланец
slate-pencil	грифель
slating	проработка
slattern	неряха|распустёха
slaughter	перебить|забой|побоище
slaughter-house	бойня|мясорубка
slaughterhouse	скотобойня
slaughterman	боец
slav	славянин|славянка
slave	раб|раба|рабыня
slave away	пахать
slave to routine	рутинёр|рутинёрка
slave-driver	надсмотрщик
slave-holder	рабовладелец|рабовладелица
slave-holding	рабовладельческий
slave-owner	рабовладелец|рабовладелица
slave-owning	рабовладение
slave-trade	работорговля
slave-trader	работорговец
slaver	работорговец
slavery	рабство|неволя|невольничество
slavery to routine	рутинёрство
slavic	славянский
slavish	рабский
slavism	славянизм
slavonic	славянский
slavonic peoples	славянство
slavonic philology	славистика
slavonic scholar	славист
slavonic studies	славистика
slavonicism	славянизм
slavophil	славянофил
slavophilism	славянофильство
slavophobe	славянофоб
slay	перебить|сразить|убить
slayer	потрошитель
sledge	сани|нарта|санки
sledge runner	полоз
sledge-hammer	кувалда
sleek	гладкий|пригладить|холеный
sleekness	гладкость
sleep	сон|спать|проспать
sleep off	отоспаться
sleep-walker	лунатик|сомнамбула
sleep-walking	лунатизм
sleeper	шпала|лежень
sleepiness	сонливость|спячка
sleeping	спальный|сонный
sleeping bag	конверт
sleepless	бессонный
sleeplessness	бессонница
sleepy	сонный|заспанный|невыспавшийся
sleepyhead	соня
sleet	крупа|изморось
sleeve	рукав|муфта
sleeveless blouse	безрукавка
sleeveless cardigan	безрукавка
sleeveless jacket	безрукавка|душегрейка
sleeveless pullover	безрукавка
sleigh	сани|санный
sleigh robe	полость
sleight-of-hand	трюк|жонглёрство
slender	стройный|худенький|тоненький
slenderness	тонкость|стройность|субтильность
sleuth	сыщик|шпик|ищейка
slew	разворачиваться|разворотить|развернуться
slice	ломтик|резать|зарезать
slide	скользить|скользнуть|движок
slide apart	разъехаться|разъезжаться
slide projector	диапроектор
slide slip	скатиться|скатываться
slide-block	ползун
slide-valve	задвижка
slider	ползун
sliding	скользящий|скольжение|выдвижной
slight	маленький|щелчок|незначительный
slight bow	полупоклон
slight tear	надрыв
slightest	малейший
slightest extent	мало-мальски
slighting	пренебрежительный|обидный
slightly	слегка|легонько|немного
slim	стройный|худенький|тоненький
slim-legged	тонконогий
slime	тина|слизь
slimness	тонкость
slimy	слизистый|гнусный
sling	прильнуть|перевязь|строп
slingshot	рогатка
slink	красться
slip	сунуть|скользить|скользнуть
slip away	провалить
slip in	провалить|проскочить
slip out	выпасть
slip-knot	удавка
slip-rope	серьга
slipper	тапка
slippers	тапочки|танкетки
slippery	скользкий|скользко
slipping	буксование
slipping down	сползание
slips	кулисы
slipshod	небрежный|неряшливый|нечёткий
slipshod worker	бракодел
slit	скважина|щель|разрезать
slit trench	щель
sliver	щепка|осколок
slivyanka	сливянка
slob	разгильдяй|замарашка
slobber	слюни
slobbery	слюнявый
slogan	лозунг|призыв
slogger	работяга|трудяга
slop-basin	полоскательница
slope	склон|откос|скат
sloping	покатый|наклонный|отлогий
sloppy	кое-как|неопрятный|безалаберный
slops	помои|бурда
slot	паз|щель|отверстие
slot-machine	автомат|касса-автомат
sloth	леность|ленивец
slouch	свисать
slough	омут|болото
slovak	словак|словачка
sloven	неряха|пачкун|пачкунья
slovene	словенец|словенка
slovenliness	разгильдяйство|беспорядочность|неопрятность
slovenly	неопрятный|беспорядочный|неряшливый
slow	медленный|затяжной|неторопливый
slow and regular	мерный
slow down	замедлить|замедлять|затормозить
slow person	медлительный
slow-witted	непонятливый|тупой
slow-wittedness	недогадливость|несообразительность
slow-worm	медяница
slowcoach	рохля
slowing down	замедление
slowly	медленно|потихоньку|туго
slowness	медленность|непонятливость|несообразительность
sludge-pump	желонка
sludger	желонка
slug	слизняк|слизень
sluggard	слизняк|байбак
sluggish	вялый|медлительный|неповоротливый
sluggishly	медлительно
sluggishness	медлительность|косность|инертность
sluice	шлюз|облить|обливать
sluice-gate	щит
slum	трущоба
slumber	дремать
slumberous	сонный
slumbrous	сонливый
slump	спад
slump decline	депрессия
slur	слить|сливать|смазать
slur over	замазать
slurring	смазывание
slush	жижа|слякоть|распутица
slushy	слякотный
slut	неряха|грязнуля|грязнуха
sly	хитрый|лукавый
sly-boots	проныра
slyboots	хитрец|лукавец
slyly	хитро
slyness	хитрость|лукавство|лукавость
smack	привкус|пахнуть|шлёпать
small	маленький|небольшой|мелкий
small ant	мурашка|мураш
small bag	сумочка
small ball	шарик
small barn	сарайчик
small beard	бородка
small bench	скамеечка
small bottle	бутылочка
small box	коробок
small button	пуговка
small capitals	капитель
small cart	тележка
small chest coffer	ларец|ларчик
small child	малыш
small city	городок
small cucumber	огурчик
small cup	чашечка
small decanter	графинчик
small drop	капелька
small engine	движок
small fish	рыбка
small fleet	флотилия
small fry	мелочь|рыбёшка|козявка
small group	кучка
small horn	рожок|трубочка
small in numbers	малочисленный
small insect	мурашка|козявка|мураш
small knot	узелок
small lamp	фонарик
small lantern	фонарик
small leaf	листочек
small loaf	хлебец
small loss	полбеды
small meadow	луговина
small modest house	халупа
small number	малочисленность
small owner	хозяйчик
small part	частичка
small pillow	думка
small point	мелочь
small restaurant	кабачок
small river	речка
small sausage	сарделька
small settlement	заимка
small shed	сарайчик
small sheet	листочек
small shelf	полочка
small shot	бекасинник|дробинка
small spoon	ложечка
small steam locomotive	кукушка
small stove	печурка|времянка
small strap	ремешок
small suitcase	чемоданчик
small table	столик
small tail	хвостик
small tank	танкетка
small tortoise-shell	крапивница
small town	посёлок|городишко|местечко
small twig	прутик
small van	маршрутка
small village	деревушка
small volume	томик
small wad	ватка
small wash-tub	шайка
small wonder	немудрено
small wood	лесок
small-minded	мелкий|мелочный
smallest	мельчайший
smallholder	однодворец|однодворка
smallness	мелкота
smallpox	оспа
smalt	смальта
smaragd	смарагд
smart	умный|нарядный|подтянутый
smartly	шибко|шикарно|бойко
smartness	бойкость|нарядность
smash	разбить|сокрушить|разбивать
smash up	разгромить|громить
smash-hit	кинобоевик
smashing	сокрушение
smatterer	верхогляд
smear	смазать|смазывать|измазать
smearing	смазка|смазывание
smell	запах|пахнуть|чуять
smell of alcohol	перегар
smell slightly	попахивать
smell sweet	благоухать
smelly	вонючий
smelt	корюшка
smelted metal	выплавка
smeltery	плавильня
smelting	выплавка
smelting-house	литейная
smile	улыбка|усмешка|улыбнуться
smiling	улыбчивый
smirk	ухмылка|ухмыльнуться|усмешка
smite	сразить
smith	кузнец
smithery	ковка
smithy	кузница
smock	блуза
smog	смог
smoke	дым|курить|дымиться
smoke break	перекур
smoke generation	дымообразование
smoke marijuana	смешать
smoke-coloured	дымчатый
smoke-dried	копчёный
smoke-screen	задымление
smoke-stack	труба
smoked	копчёный
smoked foods	копчёности
smokeless	бездымный
smoker	курильщик|курящий|курильщица
smoking	курение|курительный|копчение
smoking shed	коптильня
smoking-room	курилка
smoky	дымный|дымчатый
smooth	гладкий|плавно|зеркальный
smooth by combing	зачесать
smooth out	расправить|сгладить|расправлять
smooth-spoken	льстивый
smooth-tongued	льстивый
smoothing	выравнивание
smoothing-iron	утюг
smoothly	гладко|ровно|безотказно
smoothness	гладкость|плавность
smother	душить|задушить|придушить
smother with kisses	расцеловать
smothering	удушение
smoulder	тлеть
smoulder to ashes	истлеть
smouldering	тление
smudge	заляпать
smudgy	чумазый
smug	самодовольный
smuggle	пронести
smuggler	контрабандист|контрабандистка
smuggling	контрабанда
smugly	самодовольно
smugness	самодовольство
smut	головня
snack	закуска|полдник|перекус
snack-bar	бар|забегаловка|закусочная
snack-bar serving pelmeni	пельменная
snag	коряга|закорючка|закавыка
snail	улитка
snake	змея|ехидна
snap	щёлк
snap into action	сработать|срабатывать
snap off	откусить
snap out	отрезать
snare	ловушка|западня|силок
snarl	огрызнуться|рычать|рычание
snatch	хвататься|обрывок|ухватиться
snatch a mouthful	перекусить
snatch out	выхватить|выхватывать
sneak	ябеда|красться|свистнуть
sneak off	ускользать|ускользнуть
sneak up	подкрасться|подкрадываться
sneaker	кроссовка
sneaking	доносительство
sneaky	подлый
sneer	усмехнуться|насмешка
sneeze	чихать|чихнуть
sniff	фыркнуть|фыркать
sniff around	обнюхивать
sniffing	фырканье
sniffle	хлюпать
snigger	хихикать|хихикнуть|хихиканье
snip off	отрезать
snipe	бекас
sniper	снайпер
snitch	стукач
snivel	сопли|хлюпать
sniveller	сопляк|нюня|плакса
snob	сноб
snobbery	снобизм
snore	храп|храпеть
snoring	храп
snoring sound	всхрап
snorkel	трубка
snort	фыркнуть|фыркать|храпеть
snorting	фырканье
snot	сопли
snotty	сопливый
snout	морда|рыло|пятачок
snout moth	огнёвка
snow	снег|снежный|снеговой
snow bunting	пуночка
snow leopard	барс
snow melter	снеготаялка
snow-bound	заснежённый
snow-covered	заснежённый
snow-drift	сугроб|занос
snow-fence	щит
snow-maiden	снегурка
snow-maiden for xmas	снегурочка
snow-plough	снегоочиститель
snow-screen	щит
snow-shoes	снегоступы
snow-slip	лавина
snow-tractor	снегоход
snow-white	белоснежный
snowball	снежок
snowball fight	снежок
snowball-tree	калина
snowdrop	подснежник
snowed up	заснежённый
snowfall	снегопад
snowflake	снежинка
snowless	бесснежный
snowman	снеговик
snowstorm	метель|пурга|буран
snowy	белоснежный|снежный
snub	оборвать|обрывать|обрезать
snub-nosed	курносый
snuff	нагар
snuff-box	табакерка
snuffle	посапывать|хлюпать
snuffling	гнусавый
snuggle	прижаться|свернуться
snuggle up	прижиматься
so	так|поэтому|столь
so far as	насколько
so many	столько
so much	столько
so much the	тем
so that	чтобы
so-and-so	имярек|такой-то
so-so	помаленьку|сносно|средне
soak	поливать|замочить|полить
soakage	просачивание
soaked	мочёный
soaking	мочка
soap	мыло
soap-boiler	мыловар
soap-boiling	мыловарение
soap-box	мыльница
soap-dish	мыльница
soap-holder	мыльница
soap-root	мыльнянка
soap-stone	жировик
soap-tray	мыльница
soap-wort	мыльнянка
soapy	мыльный
soar	витать|парить
soar up upwards	взмыть|взмывать
soaring	парение
soaring glider	планёр-паритель
sob	рыдать|всхлипывать|всхлипнуть
sobbing	рыдание|всхлипывание
sober	трезвый
sober-minded	рассудительный
sobering	вытрезвление|отрезвление
sobering-up station	вытрезвитель
soberly	трезво
soberness	трезвость
sobriety	трезвость
sobriquet	прозвище|прозвание
sobs	всхлипывание
soccer	футбол
sociable	общественный|общительный|компанейский
social	социальный|общественный
social and economic	социально-экономический
social and political	общественно-политический
social anthropology	этнография
social democracy	социал-демократия
social democrat	социал-демократ
social insurance	соцстрах
social outcast	изгой
social science	обществоведение
social security	собес
social security department	собес
social surroundings	окружающий
socialising	общение
socialism	социализм
socialist	социалистический|социалист
socialist-revolutionary	эсер|социалист-революционер
socialization	социализация|обобществление
socially	социально|общественно
society	общество|свет|объединение
society- community	общежитие
socio-economic	социально-экономический
sociological	социологический
sociologist	социолог
sociology	социология
sock	носок|стелька
socket	раструб|патрубок|гнездо
sod	дёрн|дернина
soda	сода|содовый
sodium	натрий
sodomite	педераст
sodomy	педерастия
sofa	диван|софа
soft	мягкий|неяркий|тихий
soft and pleasing	благостный
soft heart	мягкосердечие
soft resin	живица
soft roe	молоки
soft-heartedness	мягкосердечие
soften	смягчить
softened	неяркий
softening	смягчение|размягчение
softie	белоручка
softly	мягко|негромко|тихонько
softness	мягкость
softy	тряпка
soggy	мокрый
soil	почва|грунт|земля
soil science	почвоведение
soil scientist	почвовед
soiled	засаленный
soiling	загрязнение|маранье
sojourn	пребывание|жительство|проживать
sol	соль
sol-fa	сольфеджио
solanaceae	паслёновые
solar	солнечный
solar power engineering	гелиоэнергетика
solar prominence	протуберанец
solar radiation engineering	гелиотехника
solar radiation utilization	гелиотехника
solarium	солярий
sold by weight	весовой
sold loose	весовой
solder	пайка|припой
soldered joint	припайка
soldered-in part	впайка
soldered-on surface	напайка
soldering	спайка|впайка|запайка
soldering iron	паяльник
soldering on	напайка
soldier	солдат|военный|служивый
soldier foot locker	каптёрка
soldier of fortune	кондотьер
soldier's	солдатский
soldiering	солдатчина
soldiery	солдатня|военщина
sole	подошва|единственный|подмётка
solecism	солецизм
solely	единственно|исключительно
solemn	торжественный
solemn performance	священнодействие
solemn promise	зарок
solemnity	торжественность|празднество
solemnly	торжественно
solenoid	соленоид
solfeggio	сольфеджио
solicit	хлопотать|выпросить|выпрашивать
solicitation	ходатайство
solicitor	адвокат|ходатай
solicitous	заботливый|бережный
solicitously	бережно
solicitude	заботливость|бережность
solid	солидный|твёрдый|прочный
solid geometry	стереометрия
solidarity	солидарность|сплочённость
solidary	сплочённый|солидарный
solidity	прочность|твёрдость|крепость
solidly	прочно|напрочно
solidly built	плотный
soliloquy	монолог
soling	подшивка
solipsism	солипсизм
solitaire	пасьянс|солитёр
solitarily	уединённо
solitariness	уединённость
solitary	одинокий|безлюдный|единичный
solitary cell	одиночка
solitary confinement	изолятор
solitude	одиночество|уединение
solo	соло|сольный|запев
soloist	солист|солистка
solstice	солнцестояние
solubility	растворимость
soluble	растворимый
solution	раствор|решение|разгадка
solution-proof	неразрешимый
solve	разгадать|решить|решать
solvency	кредитоспособность|платёжеспособность|состоятельность
solvent	состоятельный|растворитель|платёжеспособный
solyanka	солянка
soma	сома
somatic	соматический
sombre	мрачный
sombreness	мрачность
sombrero	сомбреро
some	несколько|некоторый|некий
some day	когда-нибудь|когда-либо
some kind of	какой-нибудь
some more	ещё
some people	некоторый|кое-кто
some time	когда-нибудь|когда-либо|как-нибудь
somebody	кто-то|кто-нибудь|кое-кто
somehow	как-то|как-нибудь|что-то
someone	некто|кто-нибудь|кто-либо
somersault	кувыркаться|сальто|сальто-мортале
somersaults	кувырканье
something	нечто|везти|водить
something else	другой
something ephemeral	однодневка
something like	какой-то
something mushy	дрызготня
something to smoke	курево
something unimportant	пустяк
something worth seeing	достопримечательность
sometimes	иногда|подчас
somewhat	слегка|малость|немного
somewhat deaf	глуховатый
somewhat eccentric	чудаковатый
somewhat quicker	поскорее
somewhere	где-то|куда-то|где-нибудь
somnambulism	лунатизм|сомнамбула
somnambulist	лунатик
somnolence	дремота|сонливость|полусон
somnolent	снотворный|дремотный|сонливый
son	сын|сынок|сынишка
son et lumiere	светомузыка
son of priest	попович
son-in-law	зять
sonata	соната
sonatina	сонатина
sonchus	осот
song	песня|песенка|пение
song-book	песенник
song-writer	песенник
songbird	славка
songs of praise	величание
songster	певун
songstress	певунья
sonnet	сонет
sonny	сынок|сынишка
sonority	звучность
sonorous	звучный
sonorously	звучно
sonorousness	звучность
soon	вскоре|сейчас|скоро
sooner	скорее|скорей
sooshka	сушка
soot	копоть|сажа
soothe	успокоить|успокаивать|унять
soother	соска
soothing	успокоение|успокоительный|утоление
soothsayer	волхв|гадалка|прорицатель
soothsaying	прорицание
sop	подачка
sophism	софизм
sophist	софист
sophisticated	продвинутый
sophistication	умствование
sophistry	софистика
soporific	снотворный|сонный|усыпительный
soprano	сопрано
sorcerer	колдун|волшебник|чародей
sorceress	волшебница|колдунья|чародейка
sorcery	колдовство|волшебство|чародейство
sordid	грязный
sordino	сурдинка
sore	язва|больной|болячка
sore throat	ангина
sorghum	сорго
sorgo	сорго
sorrow	печаль|скорбь|горе
sorrowful	грустный|скорбный|жалобный
sorrowfully	горестно|грустно
sort	сорт|разряд|порода
sort of	вроде
sort out	перебирать|подобрать|подбирать
sorter	браковщик|браковщица|сортировка
sortie	вылазка|самолёто-вылет
sorting	сортировка
sorting out	разборка|переборка|рассортировка
sot	пьянчуга|пьянчужка
sotnia	сотня
sotnik	сотник
sou	су
soubrette	субретка
souffle	суфле
sought for	искомый
soul	душа|душенька
soulful	душещипательный
